x,y,yaw,aux1,aux2
57.284350, -107.253826, -0.222494, 2.686141, 2.753995
57.375771, -107.274454, -0.221412, 2.690310, 2.757688
57.467210, -107.294991, -0.220471, 2.690554, 2.757341
57.558769, -107.315482, -0.220052, 2.673784, 2.739720
57.649757, -107.335757, -0.218001, 2.679040, 2.744140
57.740868, -107.355850, -0.216127, 2.682224, 2.746173
57.831745, -107.375852, -0.214732, 2.650048, 2.715134
57.922448, -107.395468, -0.216360, 2.652482, 2.717196
58.013080, -107.415287, -0.215088, 2.666610, 2.729628
58.103864, -107.435100, -0.213570, 2.671087, 2.733262
58.194820, -107.454766, -0.212155, 2.675221, 2.736710
58.285755, -107.474313, -0.211362, 2.674615, 2.735488
58.376705, -107.493791, -0.210604, 2.677383, 2.737921
58.467755, -107.513220, -0.209888, 2.680489, 2.740677
58.558915, -107.532607, -0.209209, 2.683836, 2.743702
58.650191, -107.551955, -0.208553, 2.687410, 2.746970
58.741590, -107.571265, -0.207830, 2.691135, 2.750307
58.832724, -107.590456, -0.207440, 2.689657, 2.745987
58.924425, -107.609579, -0.206600, 2.692645, 2.750369
59.015976, -107.628689, -0.205459, 2.695373, 2.753304
59.107651, -107.647747, -0.204443, 2.699230, 2.756628
59.199400, -107.666668, -0.203342, 2.675997, 2.729107
59.291070, -107.685838, -0.202089, 2.723377, 2.777401
59.382708, -107.704541, -0.200922, 2.688491, 2.743524
59.474142, -107.723083, -0.199764, 2.691019, 2.745963
59.565607, -107.741532, -0.198691, 2.693547, 2.747625
59.657171, -107.759913, -0.197532, 2.697441, 2.750944
59.748906, -107.778221, -0.196449, 2.705309, 2.758363
59.840923, -107.796481, -0.195344, 2.709227, 2.761763
59.933068, -107.814662, -0.194267, 2.713009, 2.765028
60.025339, -107.832765, -0.193191, 2.716719, 2.768224
60.117736, -107.850789, -0.192124, 2.720350, 2.771347
60.210254, -107.868735, -0.191060, 2.723890, 2.774381
60.303087, -107.886629, -0.189870, 2.717032, 2.767312
60.395345, -107.904264, -0.188581, 2.719751, 2.768517
60.487846, -107.921841, -0.186982, 2.725583, 2.773934
60.580516, -107.939293, -0.185344, 2.727638, 2.775212
60.673509, -107.956590, -0.183970, 2.750521, 2.797989
60.765987, -107.973843, -0.183265, 2.720090, 2.766320
60.858361, -107.990894, -0.181643, 2.718707, 2.764201
60.950517, -108.007879, -0.180809, 2.699974, 2.745370
61.042437, -108.024602, -0.183198, 2.694031, 2.740692
61.134307, -108.041546, -0.182609, 2.701629, 2.747487
61.226252, -108.058525, -0.181546, 2.704359, 2.749579
61.318310, -108.075354, -0.179865, 2.707036, 2.751555
61.410317, -108.092044, -0.179089, 2.704981, 2.748943
61.502279, -108.108655, -0.178369, 2.706654, 2.750325
61.594310, -108.125215, -0.177689, 2.708928, 2.752293
61.686426, -108.141728, -0.177119, 2.711562, 2.754717
61.778639, -108.158225, -0.177068, 2.714426, 2.757607
61.870952, -108.174751, -0.177196, 2.717652, 2.760909
61.963305, -108.191344, -0.177296, 2.687595, 2.735332
62.055584, -108.207721, -0.178178, 2.728554, 2.773391
62.148063, -108.224357, -0.178133, 2.719687, 2.763556
62.240556, -108.241009, -0.178238, 2.722825, 2.766681
62.333167, -108.257719, -0.178323, 2.737075, 2.784089
62.425614, -108.273949, -0.178058, 2.700683, 2.743601
62.517686, -108.290553, -0.177912, 2.712276, 2.756044
62.609888, -108.307169, -0.178043, 2.712663, 2.756046
62.702119, -108.323868, -0.178880, 2.715790, 2.759813
62.794438, -108.340658, -0.179344, 2.717057, 2.761362
